geneID	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AT5G13900	5.3025120746802e-85	0.613275897869482	0.142	0.012	1.20743502452543e-80	23	AT5G13900
AT5G58150	1.7334215229526e-71	0.426892207314	0.166	0.02	3.94717414991537e-67	23	AT5G58150
AT3G27150	7.2678509176441e-69	0.804035913832424	0.287	0.061	1.65496233245674e-64	23	AT3G27150
AT2G447906	9.22552104410463e-67	0.989122029867604	0.87	0.672	2.10074339695306e-62	23	AT2G44790
AT5G24380	3.78302236426026e-60	0.350574285276872	0.175	0.026	8.61432022565705e-56	23	AT5G24380
AT1G13100	4.30554200059463e-59	0.337480101927047	0.136	0.016	9.80414968955404e-55	23	AT1G13100
AT5G40270	2.06411264590446e-57	0.715916914397951	0.278	0.067	4.70019090598905e-53	23	AT5G40270
AT4G048404	3.61512274253773e-54	0.679389714452916	0.317	0.081	8.23199599703266e-50	23	AT4G04840
AT1G80640	4.84866833357697e-54	0.854731685115236	0.314	0.088	1.10409026623881e-49	23	AT1G80640
AT5G39580	5.87641170390047e-52	1.27398876391156	0.166	0.027	1.33811770909518e-47	23	AT5G39580
AT5G56230	1.10151069665649e-48	0.591698079212202	0.243	0.057	2.5082500073565e-44	23	AT5G56230
AT1G340401	4.97100378826333e-48	0.32833553326933	0.148	0.023	1.13194727262544e-43	23	AT1G34040
AT4G280852	2.31813194947775e-44	0.939765013842539	0.361	0.123	5.27861826215578e-40	23	AT4G28085
AT2G34310	4.23748944263201e-41	1.3333874809585	0.441	0.217	9.64918720981734e-37	23	AT2G34310
AT5G375405	5.54308267243802e-39	1.18058287506559	0.479	0.242	1.26221535534086e-34	23	AT5G37540
AT2G167501	1.5394812654692e-38	0.283833560636762	0.136	0.023	3.50555278959992e-34	23	AT2G16750
AT3G562302	4.76915619084714e-37	0.949196909048843	0.379	0.152	1.0859845562178e-32	23	AT3G56230
AT1G451303	6.92193813288038e-37	1.10909243442529	0.479	0.258	1.57619453223819e-32	23	AT1G45130
AT2G124622	1.26780337889431e-36	0.405006608966429	0.222	0.058	2.88691507408024e-32	23	AT2G12462
AT3G142803	1.39947080841339e-36	0.802489212457267	0.251	0.074	3.18673497783813e-32	23	AT3G14280
AT3G265206	1.80660500006283e-36	0.650799670370933	0.778	0.538	4.11382024564306e-32	23	AT3G26520
AT2G441605	1.36772867670903e-35	0.991002891512383	0.666	0.53	3.11445496973414e-31	23	AT2G44160
AT4G288901	2.77306872542939e-35	0.374179694786705	0.189	0.045	6.31455479467526e-31	23	AT4G28890
AT1G758401	6.01898630689705e-35	1.29987307693145	0.583	0.422	1.37058337194353e-30	23	AT1G75840
AT3G622703	1.67296364166204e-31	0.960990896931472	0.45	0.23	3.80950550842862e-27	23	AT3G62270
AT2G388003	2.05522764526507e-31	0.864300475927639	0.346	0.142	4.6799588710331e-27	23	AT2G38800
AT5G437803	1.3697404720398e-30	1.16513856228441	0.533	0.371	3.11903602888183e-26	23	AT5G43780
AT5G594904	1.67551549637705e-29	0.91283614792528	0.355	0.165	3.81531633680019e-25	23	AT5G59490
AT2G284101	4.4274407791546e-29	0.258692950829131	0.145	0.032	1.00817253982129e-24	23	AT2G28410
AT4G29220	1.26874990288463e-28	0.744955399813406	0.314	0.133	2.8890704038586e-24	23	AT4G29220
AT4G139307	6.11771165081579e-28	0.661541926574817	0.793	0.733	1.39306412000726e-23	23	AT4G13930
AT4G336661	1.86584057116222e-27	0.392608698966227	0.16	0.04	4.2487055645935e-23	23	AT4G33666
AT5G55970	2.05279894492762e-27	0.528247663519599	0.198	0.06	4.67442847749469e-23	23	AT5G55970
AT2G371705	8.08942497906064e-27	0.736907043857346	0.689	0.506	1.8420429619819e-22	23	AT2G37170
AT3G503001	4.98758431097595e-25	0.725754930011684	0.302	0.132	1.13572282345233e-20	23	AT3G50300
AT2G394101	1.29024484613833e-23	0.334416718728624	0.151	0.041	2.93801653914159e-19	23	AT2G39410
AT1G631805	2.64387847635102e-23	0.816264828034494	0.367	0.184	6.02037567849891e-19	23	AT1G63180
AT5G420304	1.88414865955938e-22	0.556906681019525	0.281	0.12	4.29039491268266e-18	23	AT5G42030
AT2G324302	5.81269265638215e-22	0.573168436508998	0.257	0.103	1.32360824478478e-17	23	AT2G32430
AT4G32350	1.64641241572749e-21	0.570089877653622	0.222	0.086	3.74904571185307e-17	23	AT4G32350
AT3G26030	6.07444193349344e-21	1.36018719286676	0.456	0.332	1.38321117267579e-16	23	AT3G26030
AT5G55130	7.95822053130005e-21	0.963649269752544	0.358	0.206	1.81216639718234e-16	23	AT5G55130
AT5G447902	9.13558724495067e-20	0.992065603736601	0.426	0.285	2.08026457154772e-15	23	AT5G44790
AT1G535603	1.10492088286347e-19	0.669901281695693	0.376	0.211	2.51601534236841e-15	23	AT1G53560
AT5G351102	6.07951640502171e-19	0.26473086912422	0.101	0.024	1.38436668058749e-14	23	AT5G35110
AT1G618206	3.65480860497726e-18	0.680639136655452	0.293	0.139	8.32236467439373e-14	23	AT1G61820
AT3G162405	1.60130823550811e-17	0.480518971840764	0.669	0.517	3.64633898307553e-13	23	AT3G16240
AT2G23700	8.12877878578423e-17	0.293461296581381	0.189	0.075	1.85100421731093e-12	23	AT2G23700
AT2G400604	1.17277171657454e-16	1.073598579558	0.601	0.616	2.67051847581188e-12	23	AT2G40060
AT1G431604	1.47604932296034e-16	0.882135397002567	0.358	0.208	3.36111191331298e-12	23	AT1G43160
AT2G327206	1.54115622830717e-16	0.915147142882703	0.553	0.464	3.50936684747825e-12	23	AT2G32720
AT5G583754	2.48516603943903e-14	0.962691401752962	0.524	0.493	5.65897158840661e-10	23	AT5G58375
AT5G541608	1.11164366402793e-13	0.502099493005706	0.538	0.397	2.53132378735799e-09	23	AT5G54160
AT2G469201	2.22253372266535e-13	0.40818667644603	0.195	0.088	5.06093153988128e-09	23	AT2G46920
AT1G200902	8.87925532132814e-13	1.06160547321484	0.536	0.538	2.02189522921963e-08	23	AT1G20090
