Zm00001d027875	LOC100384216
Zm00001d027876	IDP8570
Zm00001d027877	bgh1
Zm00001d027878	ereb130
Zm00001d027879	IDP3783
Zm00001d027880	LOC100193685
Zm00001d027881	bnlg1429
Zm00001d027884	hma8
Zm00001d027886	ct2
Zm00001d027887	IDP7290
Zm00001d027888	IDP29
Zm00001d027893	lox9
Zm00001d027899	zim26
Zm00001d027900	zim27
Zm00001d027901	zim16
Zm00001d027904	kcs13
Zm00001d027911	bhlh200
Zm00001d027916	cl222_1a
Zm00001d027921	mate32
Zm00001d027924	ereb179
Zm00001d027925	ereb180
Zm00001d027928	ereb181
Zm00001d027929	ereb182
Zm00001d027932	flz1
Zm00001d027934	ltk1
Zm00001d027936	vp5
Zm00001d027937	ppr12
Zm00001d027939	abi7
Zm00001d027941	GRMZM2G109589
Zm00001d027943	cl33044_1
Zm00001d027944	pco094430
Zm00001d027946	hct1
Zm00001d027948	hct2
Zm00001d027949	cl244_1
Zm00001d027957	mads68
Zm00001d027962	IDP343
Zm00001d027963	nmat1
Zm00001d027965	aed3
Zm00001d027967	cl31447_1
Zm00001d027969	cl32455_1a
Zm00001d027971	cl28586_1a
Zm00001d027973	npi411b
Zm00001d027974	Zm00001d027974
Zm00001d027975	GRMZM2G398848
Zm00001d027976	IDP622
Zm00001d027982	mate30
Zm00001d027987	bhlh160
Zm00001d027991	hb5
Zm00001d027995	GRMZM2G397055
Zm00001d027996	pco147721a
Zm00001d027997	si486092d04a
Zm00001d027998	vq2
Zm00001d027999	abc4
Zm00001d028002	ras11E1
Zm00001d028005	cl15956_1a
Zm00001d028007	camta4
Zm00001d028008	LOC103631879
Zm00001d028009	LOC100193996
Zm00001d028010	cl11561_1a
Zm00001d028012	IDP871
Zm00001d028017	ereb101
Zm00001d028019	pco122203
Zm00001d028022	cl5919_1a
Zm00001d028024	umc1467
Zm00001d028025	si606026d01a
Zm00001d028026	IDP3970
Zm00001d028034	LOC100383763
