locus_name	symbol	full_name
Solyc00g500039.1	Solyc00g500039.1	Solyc00g500039.1
Solyc00g500040.1	Solyc00g500040.1	Solyc00g500040.1
Solyc00g500041.1	Solyc00g500041.1	Solyc00g500041.1
Solyc00g500042.1	Solyc00g500042.1	Solyc00g500042.1
Solyc00g500043.1	Solyc00g500043.1	Solyc00g500043.1
Solyc00g500044.1	Solyc00g500044.1	Solyc00g500044.1
Solyc00g500045.1	Solyc00g500045.1	Solyc00g500045.1
Solyc00g500046.1	Solyc00g500046.1	Solyc00g500046.1
Solyc00g500047.1	Solyc00g500047.1	Solyc00g500047.1
Solyc00g500048.1	Solyc00g500048.1	Solyc00g500048.1
Solyc00g500049.1	Solyc00g500049.1	Solyc00g500049.1
Solyc00g500050.1	Solyc00g500050.1	Solyc00g500050.1
Solyc00g500051.1	Solyc00g500051.1	Solyc00g500051.1
Solyc00g500052.1	Solyc00g500052.1	Solyc00g500052.1
Solyc00g500053.1	Solyc00g500053.1	Solyc00g500053.1
Solyc00g500054.1	Solyc00g500054.1	Solyc00g500054.1
Solyc00g500055.1	Solyc00g500055.1	Solyc00g500055.1
Solyc00g500056.1	Solyc00g500056.1	Solyc00g500056.1
Solyc00g500057.1	Solyc00g500057.1	Solyc00g500057.1
Solyc00g500058.1	Solyc00g500058.1	Solyc00g500058.1
Solyc00g500059.1	Solyc00g500059.1	Solyc00g500059.1
Solyc00g500060.1	Solyc00g500060.1	Solyc00g500060.1
Solyc00g500061.1	Solyc00g500061.1	Solyc00g500061.1
Solyc00g500062.1	Solyc00g500062.1	Solyc00g500062.1
Solyc00g500063.1	Solyc00g500063.1	Solyc00g500063.1
Solyc00g500064.1	Solyc00g500064.1	Solyc00g500064.1
Solyc00g500065.1	Solyc00g500065.1	Solyc00g500065.1
Solyc00g500066.1	Solyc00g500066.1	Solyc00g500066.1
Solyc00g500067.1	Solyc00g500067.1	Solyc00g500067.1
Solyc00g500068.1	Solyc00g500068.1	Solyc00g500068.1
Solyc00g500069.1	Solyc00g500069.1	Solyc00g500069.1
Solyc00g500070.1	Solyc00g500070.1	Solyc00g500070.1
Solyc00g500071.1	Solyc00g500071.1	Solyc00g500071.1
Solyc00g500072.1	Solyc00g500072.1	Solyc00g500072.1
Solyc00g500073.1	Solyc00g500073.1	Solyc00g500073.1
Solyc00g500074.1	Solyc00g500074.1	Solyc00g500074.1
Solyc00g500075.1	Solyc00g500075.1	Solyc00g500075.1
Solyc00g500076.1	Solyc00g500076.1	Solyc00g500076.1
Solyc00g500077.1	Solyc00g500077.1	Solyc00g500077.1
Solyc00g500078.1	Solyc00g500078.1	Solyc00g500078.1
Solyc00g500079.1	Solyc00g500079.1	Solyc00g500079.1
Solyc00g500080.1	Solyc00g500080.1	Solyc00g500080.1
Solyc00g500081.1	Solyc00g500081.1	Solyc00g500081.1
Solyc00g500082.1	Solyc00g500082.1	Solyc00g500082.1
Solyc00g500083.1	Solyc00g500083.1	Solyc00g500083.1
Solyc00g500084.1	Solyc00g500084.1	Solyc00g500084.1
Solyc00g500085.1	Solyc00g500085.1	Solyc00g500085.1
Solyc00g500086.1	Solyc00g500086.1	Solyc00g500086.1
Solyc00g500087.1	Solyc00g500087.1	Solyc00g500087.1
Solyc00g500088.1	Solyc00g500088.1	Solyc00g500088.1
Solyc00g500089.1	Solyc00g500089.1	Solyc00g500089.1
Solyc00g500090.1	Solyc00g500090.1	Solyc00g500090.1
Solyc00g500091.1	Solyc00g500091.1	Solyc00g500091.1
Solyc00g500092.1	Solyc00g500092.1	Solyc00g500092.1
Solyc00g500093.1	Solyc00g500093.1	Solyc00g500093.1
Solyc00g500094.1	Solyc00g500094.1	Solyc00g500094.1
Solyc00g500095.1	Solyc00g500095.1	Solyc00g500095.1
Solyc00g500096.1	Solyc00g500096.1	Solyc00g500096.1
Solyc00g500097.1	Solyc00g500097.1	Solyc00g500097.1
Solyc00g500098.1	Solyc00g500098.1	Solyc00g500098.1
Solyc00g500099.1	Solyc00g500099.1	Solyc00g500099.1
Solyc00g500100.1	Solyc00g500100.1	Solyc00g500100.1
Solyc00g500101.1	Solyc00g500101.1	Solyc00g500101.1
Solyc00g500102.1	Solyc00g500102.1	Solyc00g500102.1
Solyc00g500103.1	Solyc00g500103.1	Solyc00g500103.1
Solyc00g500104.1	Solyc00g500104.1	Solyc00g500104.1
Solyc00g500105.1	Solyc00g500105.1	Solyc00g500105.1
Solyc00g500106.1	Solyc00g500106.1	Solyc00g500106.1
Solyc00g500107.1	Solyc00g500107.1	Solyc00g500107.1
Solyc00g500108.1	Solyc00g500108.1	Solyc00g500108.1
Solyc00g500109.1	Solyc00g500109.1	Solyc00g500109.1
Solyc00g500110.1	Solyc00g500110.1	Solyc00g500110.1
Solyc00g500111.1	Solyc00g500111.1	Solyc00g500111.1
Solyc00g500112.1	Solyc00g500112.1	Solyc00g500112.1
Solyc00g500113.1	Solyc00g500113.1	Solyc00g500113.1
Solyc00g500114.1	Solyc00g500114.1	Solyc00g500114.1
Solyc00g500115.1	Solyc00g500115.1	Solyc00g500115.1
Solyc00g500116.1	Solyc00g500116.1	Solyc00g500116.1
Solyc00g500117.1	Solyc00g500117.1	Solyc00g500117.1
Solyc00g500118.1	Solyc00g500118.1	Solyc00g500118.1
Solyc00g500119.1	Solyc00g500119.1	Solyc00g500119.1
Solyc00g500120.1	Solyc00g500120.1	Solyc00g500120.1
Solyc00g500121.1	Solyc00g500121.1	Solyc00g500121.1
Solyc00g500122.1	Solyc00g500122.1	Solyc00g500122.1
Solyc00g500123.1	Solyc00g500123.1	Solyc00g500123.1
Solyc00g500124.1	Solyc00g500124.1	Solyc00g500124.1
Solyc00g500125.1	Solyc00g500125.1	Solyc00g500125.1
Solyc00g500126.1	Solyc00g500126.1	Solyc00g500126.1
Solyc00g500127.1	Solyc00g500127.1	Solyc00g500127.1
Solyc00g500128.1	Solyc00g500128.1	Solyc00g500128.1
Solyc00g500129.1	Solyc00g500129.1	Solyc00g500129.1
Solyc00g500130.1	Solyc00g500130.1	Solyc00g500130.1
Solyc00g500131.1	Solyc00g500131.1	Solyc00g500131.1
Solyc00g500132.1	Solyc00g500132.1	Solyc00g500132.1
Solyc00g500133.1	Solyc00g500133.1	Solyc00g500133.1
